service_date,day_type,bus,rail_boardings,total_rides,year,month,day_of_week,period,day_of_year,lag_1,lag_7,lag_30,rolling_7,rolling_30
2001-03-20,W,1034388,618340,1652728,2001,3,1,Before 2020,79,602469.0,611347.0,176855.0,507336.28571428574,486537.76666666666
2001-03-21,W,1029332,616764,1646096,2001,3,2,Before 2020,80,618340.0,619417.0,457891.0,508335.28571428574,501253.93333333335
2001-03-22,W,1030741,617815,1648556,2001,3,3,Before 2020,81,616764.0,596612.0,610284.0,507956.28571428574,506549.7
2001-03-23,W,1030685,605605,1636290,2001,3,4,Before 2020,82,617815.0,583359.0,600133.0,510985.28571428574,506800.73333333334
2001-03-24,A,604139,277028,881167,2001,3,5,Before 2020,83,605605.0,343893.0,606302.0,514163.28571428574,506983.13333333336
2001-03-25,U,348817,170742,519559,2001,3,6,Before 2020,84,277028.0,194257.0,602352.0,504611.14285714284,496007.3333333333
2001-03-26,W,989316,583176,1572492,2001,3,0,Before 2020,85,170742.0,602469.0,246795.0,501251.85714285716,481620.3333333333
2001-03-27,W,1017904,600914,1618818,2001,3,1,Before 2020,86,583176.0,618340.0,172132.0,498495.71428571426,492833.0333333333
2001-03-28,W,1007699,601999,1609698,2001,3,2,Before 2020,87,600914.0,616764.0,609256.0,496006.28571428574,507125.76666666666
2001-03-29,W,1020098,605027,1625125,2001,3,3,Before 2020,88,601999.0,617815.0,609305.0,493897.0,506883.86666666664
2001-03-30,W,978244,590403,1568647,2001,3,4,Before 2020,89,605027.0,605605.0,610013.0,492070.14285714284,506741.26666666666
2001-03-31,A,626223,280950,907173,2001,3,5,Before 2020,90,590403.0,277028.0,618440.0,489898.4285714286,506087.6
2001-04-01,U,417716,192717,610433,2001,4,6,Before 2020,91,280950.0,170742.0,611578.0,490458.71428571426,494837.93333333335
2001-04-02,W,1023629,611098,1634727,2001,4,0,Before 2020,92,192717.0,583176.0,286786.0,493598.0,480875.9
2001-04-03,W,1057275,613993,1671268,2001,4,1,Before 2020,93,611098.0,600914.0,178292.0,497586.85714285716,491686.3
2001-04-04,W,1047634,625348,1672982,2001,4,2,Before 2020,94,613993.0,601999.0,549759.0,499455.28571428574,506209.6666666667
2001-04-05,W,973118,606535,1579653,2001,4,3,Before 2020,95,625348.0,605027.0,603561.0,502790.85714285716,508729.3
2001-04-06,W,1015046,611352,1626398,2001,4,4,Before 2020,96,606535.0,590403.0,616666.0,503006.28571428574,508828.43333333335
2001-04-07,A,642265,297971,940236,2001,4,5,Before 2020,97,611352.0,280950.0,611371.0,505999.0,508651.3
2001-04-08,U,437035,200720,637755,2001,4,6,Before 2020,98,297971.0,192717.0,606672.0,508430.5714285714,498204.63333333336
2001-04-09,W,998290,596418,1594708,2001,4,0,Before 2020,99,200720.0,611098.0,283251.0,509573.85714285716,484672.9
2001-04-10,W,1024817,613311,1638128,2001,4,1,Before 2020,100,596418.0,613993.0,188228.0,507476.71428571426,495111.8
2001-04-11,W,985906,606764,1592670,2001,4,2,Before 2020,101,613311.0,625348.0,588857.0,507379.28571428574,509281.23333333334
2001-04-12,W,991795,608691,1600486,2001,4,3,Before 2020,102,606764.0,606535.0,611347.0,504724.4285714286,509878.13333333336
2001-04-13,W,865706,527116,1392822,2001,4,4,Before 2020,103,608691.0,611352.0,619417.0,505032.4285714286,509789.6
2001-04-14,A,628526,279728,908254,2001,4,5,Before 2020,104,527116.0,297971.0,596612.0,492998.71428571426,506712.9
2001-04-15,U,364972,163191,528163,2001,4,6,Before 2020,105,279728.0,200720.0,583359.0,490392.5714285714,496150.1
2001-04-16,W,859713,564614,1424327,2001,4,0,Before 2020,106,163191.0,596418.0,343893.0,485031.28571428574,482144.5
2001-04-17,W,877834,583859,1461693,2001,4,1,Before 2020,107,564614.0,613311.0,194257.0,480487.85714285716,489501.86666666664
2001-04-18,W,907539,599600,1507139,2001,4,2,Before 2020,108,583859.0,606764.0,602469.0,476280.4285714286,502488.6
2001-04-19,W,917518,596505,1514023,2001,4,3,Before 2020,109,599600.0,608691.0,618340.0,475257.0,502392.9666666667
2001-04-20,W,922082,590659,1512741,2001,4,4,Before 2020,110,596505.0,527116.0,616764.0,473516.14285714284,501665.13333333336
2001-04-21,A,603039,293701,896740,2001,4,5,Before 2020,111,590659.0,279728.0,617815.0,482593.71428571426,500794.9666666667
2001-04-22,U,384255,185526,569781,2001,4,6,Before 2020,112,293701.0,163191.0,605605.0,484589.85714285716,489991.1666666667
2001-04-23,W,979788,590446,1570234,2001,4,0,Before 2020,113,185526.0,564614.0,277028.0,487780.5714285714,475988.5333333333
2001-04-24,W,1031150,618513,1649663,2001,4,1,Before 2020,114,590446.0,583859.0,170742.0,491470.85714285716,486435.8
2001-04-25,W,977794,609447,1587241,2001,4,2,Before 2020,115,618513.0,599600.0,583176.0,496421.4285714286,501361.5
2001-04-26,W,1028140,624617,1652757,2001,4,3,Before 2020,116,609447.0,596505.0,600914.0,497828.14285714284,502237.2
2001-04-27,W,1034472,610723,1645195,2001,4,4,Before 2020,117,624617.0,590659.0,601999.0,501844.14285714284,503027.3
2001-04-28,A,624970,289747,914717,2001,4,5,Before 2020,118,610723.0,293701.0,605027.0,504710.4285714286,503318.1
2001-04-29,U,423377,200002,623379,2001,4,6,Before 2020,119,289747.0,185526.0,590403.0,504145.5714285714,492808.76666666666
2001-04-30,W,1008390,600424,1608814,2001,4,0,Before 2020,120,200002.0,590446.0,280950.0,506213.5714285714,479795.4
2001-05-01,W,1067496,632996,1700492,2001,5,1,Before 2020,121,600424.0,618513.0,192717.0,507639.0,490444.5333333333
2001-05-02,W,1034088,627894,1661982,2001,5,2,Before 2020,122,632996.0,609447.0,611098.0,509708.0,505120.5
2001-05-03,W,1065048,634792,1699840,2001,5,3,Before 2020,123,627894.0,624617.0,613993.0,512343.28571428574,505680.36666666664
2001-05-04,W,1046692,621087,1667779,2001,5,4,Before 2020,124,634792.0,610723.0,625348.0,513796.85714285716,506373.6666666667
2001-05-05,A,637957,307025,944982,2001,5,5,Before 2020,125,621087.0,289747.0,606535.0,515277.4285714286,506231.63333333336
2001-05-06,U,417760,206450,624210,2001,5,6,Before 2020,126,307025.0,200002.0,611352.0,517745.71428571426,496247.9666666667
2001-05-07,W,1007381,598338,1605719,2001,5,0,Before 2020,127,206450.0,600424.0,297971.0,518666.85714285716,482751.23333333334
2001-05-08,W,1044379,621604,1665983,2001,5,1,Before 2020,128,598338.0,632996.0,200720.0,518368.85714285716,492763.4666666667
2001-05-09,W,1041324,619928,1661252,2001,5,2,Before 2020,129,621604.0,627894.0,596418.0,516741.4285714286,506792.93333333335
2001-05-10,W,1018705,614067,1632772,2001,5,3,Before 2020,130,619928.0,634792.0,613311.0,515603.4285714286,507576.6
2001-05-11,W,1004068,600295,1604363,2001,5,4,Before 2020,131,614067.0,621087.0,606764.0,512642.71428571426,507601.8
2001-05-12,A,649008,289167,938175,2001,5,5,Before 2020,132,600295.0,307025.0,608691.0,509672.4285714286,507386.1666666667
2001-05-13,U,422270,200996,623266,2001,5,6,Before 2020,133,289167.0,206450.0,527116.0,507121.28571428574,496735.36666666664
2001-05-14,W,963027,581644,1544671,2001,5,0,Before 2020,134,200996.0,598338.0,279728.0,506342.14285714284,485864.7
2001-05-15,W,1035512,633053,1668565,2001,5,1,Before 2020,135,581644.0,621604.0,163191.0,503957.28571428574,495928.56666666665
2001-05-16,W,995884,627978,1623862,2001,5,2,Before 2020,136,633053.0,619928.0,564614.0,505592.85714285716,511590.63333333336
2001-05-17,W,1006118,628882,1635000,2001,5,3,Before 2020,137,627978.0,614067.0,583859.0,506742.85714285716,513702.76666666666
2001-05-18,W,1027834,628829,1656663,2001,5,4,Before 2020,138,628882.0,600295.0,599600.0,508859.28571428574,515203.5333333333
2001-05-19,A,645603,315487,961090,2001,5,5,Before 2020,139,628829.0,289167.0,596505.0,512935.5714285714,516177.8333333333
2001-05-20,U,427040,217899,644939,2001,5,6,Before 2020,140,315487.0,200996.0,590659.0,516695.5714285714,506810.56666666665
2001-05-21,W,958236,590204,1548440,2001,5,0,Before 2020,141,217899.0,581644.0,293701.0,519110.28571428574,494385.23333333334
2001-05-22,W,1019568,637152,1656720,2001,5,1,Before 2020,142,590204.0,633053.0,185526.0,520333.14285714284,504268.6666666667
2001-05-23,W,978614,619656,1598270,2001,5,2,Before 2020,143,637152.0,627978.0,590446.0,520918.71428571426,519322.86666666664
2001-05-24,W,973423,615727,1589150,2001,5,3,Before 2020,144,619656.0,628882.0,618513.0,519729.85714285716,520296.5333333333
2001-05-25,W,988982,597892,1586874,2001,5,4,Before 2020,145,615727.0,628829.0,609447.0,517850.5714285714,520203.6666666667
2001-05-26,A,512958,269276,782234,2001,5,5,Before 2020,146,597892.0,315487.0,624617.0,513431.0,519818.5
2001-05-27,U,390535,208208,598743,2001,5,6,Before 2020,147,269276.0,217899.0,610723.0,506829.4285714286,507973.8
2001-05-28,U,392906,191639,584545,2001,5,0,Before 2020,148,208208.0,590204.0,289747.0,505445.0,494556.63333333336
2001-05-29,W,1003029,595375,1598404,2001,5,1,Before 2020,149,191639.0,637152.0,200002.0,448507.14285714284,491286.36666666664
2001-05-30,W,1002940,607442,1610382,2001,5,2,Before 2020,150,595375.0,619656.0,600424.0,442539.0,504465.4666666667
2001-05-31,W,965359,602748,1568107,2001,5,3,Before 2020,151,607442.0,615727.0,632996.0,440794.14285714284,504699.4
2001-06-01,W,1057056,611631,1668687,2001,6,4,Before 2020,152,602748.0,597892.0,627894.0,438940.0,503691.13333333336
2001-06-02,A,618944,282212,901156,2001,6,5,Before 2020,153,611631.0,269276.0,634792.0,440902.71428571426,503149.0333333333
2001-06-03,U,432408,204795,637203,2001,6,6,Before 2020,154,282212.0,208208.0,621087.0,442750.71428571426,491396.36666666664
2001-06-04,W,1029447,599699,1629146,2001,6,0,Before 2020,155,204795.0,191639.0,307025.0,442263.14285714284,477519.9666666667
2001-06-05,W,935443,606051,1541494,2001,6,1,Before 2020,156,599699.0,595375.0,206450.0,500557.4285714286,487275.76666666666
2001-06-06,W,1004243,627572,1631815,2001,6,2,Before 2020,157,606051.0,607442.0,598338.0,502082.5714285714,500595.8
2001-06-07,W,1004748,646177,1650925,2001,6,3,Before 2020,158,627572.0,602748.0,621604.0,504958.28571428574,501570.26666666666
2001-06-08,W,1012502,642049,1654551,2001,6,4,Before 2020,159,646177.0,611631.0,619928.0,511162.4285714286,502389.36666666664
2001-06-09,A,639444,358013,997457,2001,6,5,Before 2020,160,642049.0,282212.0,614067.0,515507.85714285716,503126.73333333334
2001-06-10,U,438393,242257,680650,2001,6,6,Before 2020,161,358013.0,204795.0,600295.0,526336.5714285715,494591.6
2001-06-11,W,910186,586260,1496446,2001,6,0,Before 2020,162,242257.0,599699.0,289167.0,531688.2857142857,482657.0
2001-06-12,W,946314,605737,1552051,2001,6,1,Before 2020,163,586260.0,606051.0,200996.0,529768.4285714285,492560.1
2001-06-13,W,911372,599114,1510486,2001,6,2,Before 2020,164,605737.0,627572.0,581644.0,529723.5714285715,506051.4666666667
2001-06-14,W,891710,602538,1494248,2001,6,3,Before 2020,165,599114.0,646177.0,633053.0,525658.1428571428,506633.8
2001-06-15,W,912712,612983,1525695,2001,6,4,Before 2020,166,602538.0,642049.0,627978.0,519424.0,505616.63333333336
2001-06-16,A,675335,340782,1016117,2001,6,5,Before 2020,167,612983.0,358013.0,628882.0,515271.71428571426,505116.8
2001-06-17,U,422714,237483,660197,2001,6,6,Before 2020,168,340782.0,242257.0,628829.0,512810.14285714284,495513.4666666667
2001-06-18,W,909937,590688,1500625,2001,6,0,Before 2020,169,237483.0,586260.0,315487.0,512128.14285714284,482468.6
2001-06-19,W,944122,613028,1557150,2001,6,1,Before 2020,170,590688.0,605737.0,217899.0,512760.71428571426,491641.9666666667
2001-06-20,W,939471,612707,1552178,2001,6,2,Before 2020,171,613028.0,599114.0,590204.0,513802.28571428574,504812.93333333335
2001-06-21,W,900375,596076,1496451,2001,6,3,Before 2020,172,612707.0,602538.0,637152.0,515744.14285714284,505563.0333333333
2001-06-22,W,957514,626565,1584079,2001,6,4,Before 2020,173,596076.0,612983.0,619656.0,514821.0,504193.8333333333
2001-06-23,A,631716,328467,960183,2001,6,5,Before 2020,174,626565.0,340782.0,615727.0,516761.28571428574,504424.13333333336
2001-06-24,U,443240,281620,724860,2001,6,6,Before 2020,175,328467.0,237483.0,597892.0,515002.0,494848.8
2001-06-25,W,947130,621006,1568136,2001,6,0,Before 2020,176,281620.0,590688.0,269276.0,521307.28571428574,484306.4
2001-06-26,W,944301,635326,1579627,2001,6,1,Before 2020,177,621006.0,613028.0,208208.0,525638.4285714285,496030.73333333334
2001-06-27,W,944274,634994,1579268,2001,6,2,Before 2020,178,635326.0,612707.0,191639.0,528823.8571428572,510268.0
2001-06-28,W,942731,611002,1553733,2001,6,3,Before 2020,179,634994.0,596076.0,595375.0,532007.7142857143,525046.5
2001-06-29,W,996694,666587,1663281,2001,6,4,Before 2020,180,611002.0,626565.0,607442.0,534140.0,525567.4
2001-06-30,A,649995,363078,1013073,2001,6,5,Before 2020,181,666587.0,328467.0,602748.0,539857.4285714285,527538.9
2001-07-01,U,435317,271052,706369,2001,7,6,Before 2020,182,363078.0,281620.0,611631.0,544801.8571428572,519549.9
2001-07-02,W,958879,627767,1586646,2001,7,0,Before 2020,183,271052.0,621006.0,282212.0,543292.1428571428,508197.26666666666
2001-07-03,W,990209,827670,1817879,2001,7,1,Before 2020,184,627767.0,635326.0,204795.0,544258.0,519715.76666666666
2001-07-04,U,461383,306172,767555,2001,7,2,Before 2020,185,827670.0,634994.0,599699.0,571735.7142857143,540478.2666666667
2001-07-05,W,918500,606574,1525074,2001,7,3,Before 2020,186,306172.0,611002.0,606051.0,524761.1428571428,530694.0333333333
2001-07-06,W,958011,643965,1601976,2001,7,4,Before 2020,187,606574.0,666587.0,627572.0,524128.5714285714,530711.4666666667
2001-07-07,A,599172,347374,946546,2001,7,5,Before 2020,188,643965.0,363078.0,646177.0,520896.85714285716,531257.9
2001-07-08,U,439513,256208,695721,2001,7,6,Before 2020,189,347374.0,271052.0,642049.0,518653.4285714286,521297.8
2001-07-09,W,935542,597633,1533175,2001,7,0,Before 2020,190,256208.0,627767.0,358013.0,516532.85714285716,508436.43333333335
2001-07-10,W,937066,610069,1547135,2001,7,1,Before 2020,191,597633.0,827670.0,242257.0,512228.0,516423.76666666666
2001-07-11,W,960775,614294,1575069,2001,7,2,Before 2020,192,610069.0,306172.0,586260.0,481142.14285714284,528684.1666666666
2001-07-12,W,949551,636236,1585787,2001,7,3,Before 2020,193,614294.0,606574.0,605737.0,525159.5714285715,529618.6333333333
2001-07-13,W,957097,641244,1598341,2001,7,4,Before 2020,194,636236.0,643965.0,599114.0,529397.0,530635.2666666667
2001-07-14,A,629660,333365,963025,2001,7,5,Before 2020,195,641244.0,347374.0,602538.0,529008.2857142857,532039.6
2001-07-15,U,420137,241827,661964,2001,7,6,Before 2020,196,333365.0,256208.0,612983.0,527007.0,523067.1666666667
2001-07-16,W,880246,623660,1503906,2001,7,0,Before 2020,197,241827.0,597633.0,340782.0,524952.5714285715,510695.3
2001-07-17,W,920250,625940,1546190,2001,7,1,Before 2020,198,623660.0,610069.0,237483.0,528670.7142857143,520124.56666666665
2001-07-18,W,935427,612765,1548192,2001,7,2,Before 2020,199,625940.0,614294.0,590688.0,530938.0,533073.1333333333
2001-07-19,W,949691,618451,1568142,2001,7,3,Before 2020,200,612765.0,636236.0,613028.0,530719.5714285715,533809.0333333333
2001-07-20,W,937942,610617,1548559,2001,7,4,Before 2020,201,618451.0,641244.0,612707.0,528178.8571428572,533989.8
2001-07-21,A,593545,305457,899002,2001,7,5,Before 2020,202,610617.0,333365.0,596076.0,523803.5714285714,533920.1333333333
2001-07-22,U,379766,200473,580239,2001,7,6,Before 2020,203,305457.0,241827.0,626565.0,519816.71428571426,524232.8333333333
2001-07-23,W,854318,574685,1429003,2001,7,0,Before 2020,204,200473.0,623660.0,328467.0,513909.0,510029.76666666666
2001-07-24,W,939133,630753,1569886,2001,7,1,Before 2020,205,574685.0,625940.0,281620.0,506912.5714285714,518237.0333333333
2001-07-25,W,874776,612547,1487323,2001,7,2,Before 2020,206,630753.0,612765.0,621006.0,507600.14285714284,529874.8
2001-07-26,W,954848,636674,1591522,2001,7,3,Before 2020,207,612547.0,618451.0,635326.0,507569.0,529592.8333333334
2001-07-27,W,933625,634484,1568109,2001,7,4,Before 2020,208,636674.0,610617.0,634994.0,510172.28571428574,529637.7666666667
2001-07-28,A,607195,357848,965043,2001,7,5,Before 2020,209,634484.0,305457.0,611002.0,513581.85714285716,529620.7666666667
2001-07-29,U,432534,236416,668950,2001,7,6,Before 2020,210,357848.0,200473.0,666587.0,521066.28571428574,521182.3
2001-07-30,W,908372,586076,1494448,2001,7,0,Before 2020,211,236416.0,574685.0,363078.0,526201.0,506843.26666666666
2001-07-31,W,884617,596502,1481119,2001,7,1,Before 2020,212,586076.0,630753.0,271052.0,527828.2857142857,514276.5333333333
2001-08-01,W,873553,612734,1486287,2001,8,2,Before 2020,213,596502.0,612547.0,627767.0,522935.28571428574,525124.8666666667
2001-08-02,W,790639,549367,1340006,2001,8,3,Before 2020,214,612734.0,636674.0,827670.0,522962.0,524623.7666666667
2001-08-03,W,984483,603405,1587888,2001,8,4,Before 2020,215,549367.0,634484.0,306172.0,510489.5714285714,515347.0
2001-08-04,A,648406,319386,967792,2001,8,5,Before 2020,216,603405.0,357848.0,606574.0,506049.71428571426,525254.7666666667
2001-08-05,U,453344,225172,678516,2001,8,6,Before 2020,217,319386.0,236416.0,643965.0,500555.14285714284,515681.8333333333
2001-08-06,W,907499,585919,1493418,2001,8,0,Before 2020,218,225172.0,586076.0,347374.0,498948.85714285716,501722.06666666665
2001-08-07,W,875431,610601,1486032,2001,8,1,Before 2020,219,585919.0,596502.0,256208.0,498926.4285714286,509673.56666666665
2001-08-08,W,854367,596163,1450530,2001,8,2,Before 2020,220,610601.0,612734.0,597633.0,500940.5714285714,521486.6666666667
2001-08-09,W,846305,602242,1448547,2001,8,3,Before 2020,221,596163.0,549367.0,610069.0,498573.28571428574,521437.6666666667
2001-08-10,W,946431,626136,1572567,2001,8,4,Before 2020,222,602242.0,603405.0,614294.0,506126.85714285716,521176.76666666666
2001-08-11,A,607614,323141,930755,2001,8,5,Before 2020,223,626136.0,319386.0,636236.0,509374.14285714284,521571.5
2001-08-12,U,420182,234020,654202,2001,8,6,Before 2020,224,323141.0,225172.0,641244.0,509910.5714285714,511135.0
2001-08-13,W,892382,571719,1464101,2001,8,0,Before 2020,225,234020.0,585919.0,333365.0,511174.5714285714,497560.86666666664
2001-08-14,W,866757,598019,1464776,2001,8,1,Before 2020,226,571719.0,610601.0,241827.0,509146.0,505506.0
2001-08-15,W,878793,584203,1462996,2001,8,2,Before 2020,227,598019.0,596163.0,623660.0,507348.5714285714,517379.06666666665
2001-08-16,W,800887,581402,1382289,2001,8,3,Before 2020,228,584203.0,602242.0,625940.0,505640.0,516063.8333333333
2001-08-17,W,929083,598538,1527621,2001,8,4,Before 2020,229,581402.0,626136.0,612765.0,502662.85714285716,514579.23333333334
2001-08-18,A,569201,296970,866171,2001,8,5,Before 2020,230,598538.0,323141.0,618451.0,498720.28571428574,514105.0
2001-08-19,U,439920,235842,675762,2001,8,6,Before 2020,231,296970.0,234020.0,610617.0,494981.5714285714,503388.9666666667
2001-08-20,W,876831,606101,1482932,2001,8,0,Before 2020,232,235842.0,571719.0,305457.0,495241.85714285716,490896.4666666667
2001-08-21,W,894995,608242,1503237,2001,8,1,Before 2020,233,606101.0,598019.0,200473.0,500153.5714285714,500917.93333333335
2001-08-22,W,864392,599157,1463549,2001,8,2,Before 2020,234,608242.0,584203.0,574685.0,501614.0,514510.23333333334
2001-08-23,W,906026,612615,1518641,2001,8,3,Before 2020,235,599157.0,581402.0,630753.0,503750.28571428574,515325.9666666667
2001-08-24,W,926014,619276,1545290,2001,8,4,Before 2020,236,612615.0,598538.0,612547.0,508209.28571428574,514721.36666666664
2001-08-25,A,518211,290626,808837,2001,8,5,Before 2020,237,619276.0,296970.0,636674.0,511171.85714285716,514945.6666666667
2001-08-26,U,439715,245014,684729,2001,8,6,Before 2020,238,290626.0,235842.0,634484.0,510265.5714285714,503410.73333333334
2001-08-27,W,900370,590849,1491219,2001,8,0,Before 2020,239,245014.0,606101.0,357848.0,511575.85714285716,490428.4
2001-08-28,W,933626,628532,1562158,2001,8,1,Before 2020,240,590849.0,608242.0,236416.0,509397.0,498195.1
2001-08-29,W,901782,625324,1527106,2001,8,2,Before 2020,241,628532.0,599157.0,586076.0,512295.5714285714,511265.63333333336
2001-08-30,W,913200,617044,1530244,2001,8,3,Before 2020,242,625324.0,612615.0,596502.0,516033.71428571426,512573.9
2001-08-31,W,986749,616977,1603726,2001,8,4,Before 2020,243,617044.0,619276.0,612734.0,516666.4285714286,513258.63333333336
2001-09-01,A,639977,319699,959676,2001,9,5,Before 2020,244,616977.0,290626.0,549367.0,516338.0,513400.06666666665
2001-09-02,U,470771,243520,714291,2001,9,6,Before 2020,245,319699.0,245014.0,603405.0,520491.28571428574,505744.4666666667
2001-09-03,U,448248,213584,661832,2001,9,0,Before 2020,246,243520.0,590849.0,319386.0,520277.85714285716,493748.3
2001-09-04,W,1120482,625640,1746122,2001,9,1,Before 2020,247,213584.0,628532.0,225172.0,466382.85714285716,490221.56666666665
2001-09-05,W,1047878,644950,1692828,2001,9,2,Before 2020,248,625640.0,625324.0,585919.0,465969.71428571426,503570.5
